ReaderWell,Type,SampleWell,TubeBarcode,Full.Mass,Full.Weight.Date,Full.Weight.Time,BarcodeID,Empty.Mass,Empty.Weight.Date,Empty.Weight.Time,SampleMass,Experiment,Date,Cage,Animal,Timepoint,Sex,Condition,Sample,Replicate
D04,Experiment,D04,231322427,983.4,9/7/17,10:38:58,SW_Abs|00000008a|090417|L2foA,932.6,8/15/17,17:10:56,50.8,SW_Abs1,5-Sep,8,8a,8,Female,1001262B_AVNC_Recovery,FP,NA
D05,Experiment,D05,231322409,999.5,9/7/17,10:39:02,SW_Abs|00000008b|090417|WlJGO,936.2,8/15/17,17:11:04,63.3,SW_Abs1,5-Sep,8,8b,8,Female,1001262B_AVNC_Recovery,FP,NA
D06,Experiment,D06,231323126,972.7,9/7/17,10:39:06,SW_Abs|00000009a|090417|1tzfu,932.6,8/21/17,16:22:28,40.1,SW_Abs1,5-Sep,9,9a,12,Male,Conventional,FP,NA
D07,Experiment,D07,231323169,1009.2,9/7/17,10:39:10,SW_Abs|00000009b|090417|UslDO,936,8/21/17,16:22:33,73.2,SW_Abs1,5-Sep,9,9b,12,Male,Conventional,FP,NA
D08,Experiment,D08,231323155,967.2,9/7/17,10:39:14,SW_Abs|00000009c|090417|rRbhx,935.9,8/21/17,16:22:41,31.3,SW_Abs1,5-Sep,9,9c,12,Male,Conventional,FP,NA
D09,Experiment,D09,231323125,986,9/7/17,10:39:17,SW_Abs|00000010a|090417|0OjHe,935.6,8/21/17,16:22:48,50.4,SW_Abs1,5-Sep,10,10a,12,Female,Conventional,FP,NA
D10,Experiment,D10,231323151,971.2,9/7/17,10:39:21,SW_Abs|00000010b|090417|4iUnW,937.1,8/21/17,16:22:54,34.1,SW_Abs1,5-Sep,10,10b,12,Female,Conventional,FP,NA
D11,Experiment,D11,231323123,969.8,9/7/17,10:39:25,SW_Abs|00000010c|090417|l2jQs,936.3,8/21/17,16:23:03,33.5,SW_Abs1,5-Sep,10,10c,12,Female,Conventional,FP,NA
D12,Experiment,D12,231322379,985.2,9/7/17,10:39:30,SW_Abs|00000001a|090617|vdQ5q,935.4,8/15/17,17:11:10,49.8,SW_Abs1,6-Sep,1,1a,9,Male,AS4413,FP,NA
E01,Experiment,E01,231322376,1028.4,9/7/17,10:39:34,SW_Abs|00000001b|090617|IrSgE,932.3,8/15/17,17:11:15,96.1,SW_Abs1,6-Sep,1,1b,9,Male,AS4413,FP,NA
E02,Experiment,E02,231322382,1017.9,9/7/17,10:39:38,SW_Abs|00000002a|090617|Jq1oc,932.7,8/15/17,17:11:20,85.2,SW_Abs1,6-Sep,2,2a,9,Male,NB71813,FP,NA
E03,Experiment,E03,231322425,994.5,9/7/17,10:39:43,SW_Abs|00000002b|090617|FACJc,933.8,8/15/17,17:11:26,60.7,SW_Abs1,6-Sep,2,2b,9,Male,NB71813,FP,NA
E04,Experiment,E04,231322360,961.6,9/7/17,10:39:46,SW_Abs|00000003a|090617|KgXvM,937,8/15/17,17:11:32,24.6,SW_Abs1,6-Sep,3,3a,9,Male,GZ35-1,FP,NA
E05,Experiment,E05,231322352,965,9/7/17,10:39:50,SW_Abs|00000003b|090617|YEimc,941.1,8/15/17,17:11:38,23.9,SW_Abs1,6-Sep,3,3b,9,Male,GZ35-1,FP,NA
E06,Experiment,E06,231322435,1047.6,9/7/17,10:39:53,SW_Abs|00000004a|090617|kOLT7,935.8,8/15/17,17:11:46,111.8,SW_Abs1,6-Sep,4,4a,9,Female,1001095A+1001099B,FP,NA
E07,Experiment,E07,231322407,993.5,9/7/17,10:39:58,SW_Abs|00000004b|090617|8JUUY,941.9,8/15/17,17:11:52,51.6,SW_Abs1,6-Sep,4,4b,9,Female,1001095A+1001099B,FP,NA
E08,Experiment,E08,231322386,996.4,9/7/17,10:40:01,SW_Abs|00000005a|090617|X7Iq6,937,8/15/17,17:11:59,59.4,SW_Abs1,6-Sep,5,5a,9,Male,1001095A+1001099B,FP,NA
