SW_Abs|00000008a|090617|ZoWcN	0231322400	935.3	8/15/17	17:12:49
SW_Abs|00000008b|090617|ru86B	0231322378	934	8/15/17	17:12:56
SW_Abs|00000009a|090617|gJnIA	0231323146	933.8	8/21/17	16:23:11
SW_Abs|00000009b|090617|Nr5zQ	0231323153	932.9	8/21/17	16:23:34
SW_Abs|00000009c|090617|QxmFP	0231323176	934.1	8/21/17	16:23:40
SW_Abs|00000010a|090617|3W8PU	0231323192	936.2	8/21/17	16:23:46
SW_Abs|00000010b|090617|TuasK	0231323145	934.3	8/21/17	16:23:54
SW_Abs|00000010c|090617|E9ejh	0231323148	935.5	8/21/17	16:24:02
SW_Abs|0001a-I.1|090617|rXarl	0231323120	935.8	9/6/2017	13:33:29
SW_Abs|0001a-I.2|090617|buTga	0231323174	935.7	9/6/2017	13:33:35
SW_Abs|0001b-I.1|090617|95l0w	0231323193	936.4	9/6/2017	13:33:43
SW_Abs|0001b-I.2|090617|c8b5a	0231323198	933.4	9/6/2017	13:33:49
SW_Abs|0002a-I.1|090617|10ced	0231323202	933.7	9/6/2017	13:33:56
SW_Abs|0002a-I.2|090617|IJflm	0231323201	935.9	9/6/2017	13:34:04
SW_Abs|0002b-I.1|090617|yzcsK	0231323194	935.2	9/6/2017	13:34:12
SW_Abs|0002b-I.2|090617|E1znm	0231323149	933.6	9/6/2017	13:34:20
SW_Abs|0003a-I.1|090617|3BLJs	0231323203	945	9/6/2017	13:34:30
SW_Abs|0003a-I.2|090617|EyPKx	0231323129	940.1	9/6/2017	13:34:36
SW_Abs|0003b-I.1|090617|EtpGL	0231323121	936	9/6/2017	13:35:10
SW_Abs|0003b-I.2|090617|mTU61	0231323127	932.8	9/6/2017	13:35:15
SW_Abs|0009a-I.1|090617|cMzRk	0231323196	934.5	9/6/2017	13:35:23
SW_Abs|0009a-I.2|090617|Rly9M	0231323168	932.2	9/6/2017	13:35:30
SW_Abs|0009b-I.1|090617|Y6psq	0231323124	933.3	9/6/2017	13:35:35
SW_Abs|0009b-I.2|090617|6NAHa	0231323150	944.5	9/6/2017	13:35:46
SW_Abs|0009c-I.1|090617|bkgd2	0231323178	932.8	9/6/2017	13:35:54
SW_Abs|0009c-I.2|090617|9pkBt	0231323173	935.3	9/6/2017	13:35:59
SW_Abs|0010a-I.1|090617|A6rDN	0231323171	938.9	9/6/2017	13:36:04
SW_Abs|0010a-I.2|090617|kVF9O	0231323172	936.5	9/6/2017	13:36:09
SW_Abs|0010b-I.1|090617|zusYi	0231323177	944.8	9/6/2017	13:36:15
SW_Abs|0010b-I.2|090617|S2ljj	0231323197	937.9	9/6/2017	13:36:21
SW_Abs|0010c-I.1|090617|kjVnA	0231323170	932.4	9/6/2017	13:36:29
SW_Abs|0010c-I.2|090617|YXkrk	0231323152	938.3	9/6/2017	13:36:36
